X(i);V(i);RH(i);Temp(i);Pgas(i)
-0.100E-02;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.000E+00;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.100E-02;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.200E-02;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.300E-02;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.400E-02;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.500E-02;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.600E-02;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.700E-02;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.800E-02;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.900E-02;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.100E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.110E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.120E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.130E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.140E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.150E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.160E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.170E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.180E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.190E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.200E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.210E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.220E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.230E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.240E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.250E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.260E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.270E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.280E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.290E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.300E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.310E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.320E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.330E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.340E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.350E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.360E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.370E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.380E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.390E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.400E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.410E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.420E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.430E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.440E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.450E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.460E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.470E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.480E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.490E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.500E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.510E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.520E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.530E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.540E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.550E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.560E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.570E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.580E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.590E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.600E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.610E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.620E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.630E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.640E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.650E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.660E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.670E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.680E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.690E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.700E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.710E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.720E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.730E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.740E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.750E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.760E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.770E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
0.780E-01;0.000E+00;0.100E+01;0.100E+01;0.100E+01
